J,a,b,mean,var,dM1_da,dM1_db,dV_da,dV_db
30,1.5,0.5,6.9768103716,14.1410082367,2.9293927640,-7.5890209305,2.3217364910,-22.1210629619
50,2.0,1.0,6.6396928911,12.9545022869,2.2455202979,-4.1355851664,2.9446327031,-13.0382284995
50,1.5,1.0,5.4626739080,11.2298224067,2.4709251427,-3.3788672340,4.0277281033,-12.1138397817
100,2.0,1.0,7.9785512638,20.4068433344,2.8965938003,-5.4201373588,5.5851245747,-23.8421067085
100,3.0,1.5,8.1073904979,15.9908796535,1.9408087472,-3.7036385429,2.8881654955,-11.9313891758
20,1.0,0.5,4.6628833427,8.3152546368,2.8281004485,-4.6602310094,2.8473830836,-13.0075133466
